Lat,Lng,Count
41.77,-72.67,18
40.74,-73.92,18
25.79,-80.26,18
28.6,-81.38,18
40.23,-111.68,18
40.85,-73.95,18
33.83,-84.49,18
37.7,-121.92,18
34.21,-118.23,18
33.69,-117.77,18
34.07,-118.09,18
37.56,-122.3,18
40.7,-111.95,18
34.0,-118.15,18
34.03,-118.39,18
45.02,-122.99,18
32.78,-117.1,18
34.12,-117.88,18
34.04,-81.11,18
40.9,-74.13,18
33.86,-118.31,18
33.87,-117.73,18
44.81,-123.03,18
33.5,-117.15,18
45.53,-122.61,18
41.93,-87.69,18
29.95,-95.42,18
37.55,-77.43,18
32.82,-96.87,18
37.79,-122.39,18
41.77,-72.68,18
44.95,-93.09,18
36.15,-86.78,18
29.86,-95.4,18
40.93,-111.89,18
37.43,-122.1,18
42.53,-83.12,18
40.47,-74.41,18
41.03,-73.61,18
40.79,-111.91,18
40.66,-111.95,18
35.26,-80.84,18
39.02,-94.69,18
34.0,-118.18,17
37.53,-121.94,17
26.68,-80.07,17
34.08,-118.29,17
41.76,-87.63,17
47.46,-122.26,17
40.61,-111.94,17
32.65,-96.86,17
39.56,-104.87,17
33.81,-118.16,17
39.26,-76.57,17
41.31,-72.91,17
45.52,-122.82,17
34.05,-118.0,17
34.23,-118.4,17
43.04,-87.92,17
39.09,-104.86,17
38.94,-94.59,17
27.53,-82.51,17
34.06,-117.81,17
42.46,-83.11,17
41.87,-87.75,17
40.66,-74.29,17
47.46,-122.25,17
39.97,-111.78,17
40.95,-111.89,17
33.92,-118.19,17
34.2,-118.47,17
26.2,-80.15,17
33.78,-117.89,17
40.63,-111.86,17
33.77,-84.55,17
36.07,-86.69,17
40.72,-73.95,17
32.77,-96.81,17
37.57,-122.26,17
37.96,-122.05,17
42.35,-83.22,17
40.59,-111.94,17
44.1,-123.11,17
25.78,-80.29,17
40.76,-73.74,17
38.87,-77.32,17
39.28,-76.73,17
43.99,-123.01,17
40.69,-74.27,17
40.76,-74.21,17
25.88,-80.21,17
32.77,-117.13,17
40.75,-111.61,17
35.74,-78.79,17
41.05,-73.81,17
35.06,-80.77,17
47.46,-122.22,17
